Data Dictionary - Column Information,,,,
Table Name,Column Name,Column Description,Primary Key or Foreign Key,"Additional Notes 
(where applicable, includes the  range of possible values, units of measure, how to interpret null/zero values, whether there are specific relationships between columns, and/or information on column source)"
MV-Collisions - Crash,UNIQUE_ID,Unique record code generated by system,Primary Key for the crash table,
MV-Collisions - Crash,ACCIDENT_DATE,Occurrence date of collision,,
MV-Collisions - Crash,ACCIDENT_TIME,Occurrence time of collision,,
MV-Collisions - Crash,BOROUGH,Borough where collision occurred,,
MV-Collisions - Crash,ZIP CODE,Postal code of incident occurrence,,
MV-Collisions - Crash,LATITUDE,"Latitude coordinate for Global Coordinate System, WGS 1984, decimal degrees (EPSG 4326) ",,
MV-Collisions - Crash,LONGITUDE,"Longitude coordinate for Global Coordinate System, WGS 1984, decimal degrees (EPSG 4326)",,
MV-Collisions - Crash,LOCATION,"Latitude , Longitude pair",,
MV-Collisions - Crash,ON STREET NAME,Street on which the collision occurred,,
MV-Collisions - Crash,CROSS STREET NAME,Nearest cross street to the collision,,
MV-Collisions - Crash,OFF STREET NAME,Street address if known,,
MV-Collisions - Crash,NUMBER OF PERSONS INJURED,Number of persons injured,,
MV-Collisions - Crash,NUMBER OF PERSONS KILLED,Number of persons killed,,
MV-Collisions - Crash,NUMBER OF PEDESTRIANS INJURED,Number of pedestrians injured,,
MV-Collisions - Crash,NUMBER OF PEDESTRIANS KILLED,Number of pedestrians killed,,
MV-Collisions - Crash,NUMBER OF CYCLIST INJURED,Number of cyclists injured,,
MV-Collisions - Crash,NUMBER OF CYCLIST KILLED,Number of cyclists killed,,
MV-Collisions - Crash,NUMBER OF MOTORIST INJURED,Number of vehicle occupants injured,,
MV-Collisions - Crash,NUMBER OF MOTORIST KILLED,Number of vehicle occupants killed,,
MV-Collisions - Crash,CONTRIBUTING FACTOR VEHICLE 1,Factors contributing to the collision for designated vehicle,,
MV-Collisions - Crash,CONTRIBUTING FACTOR VEHICLE 2,Factors contributing to the collision for designated vehicle,,
MV-Collisions - Crash,CONTRIBUTING FACTOR VEHICLE 3,Factors contributing to the collision for designated vehicle,,
MV-Collisions - Crash,CONTRIBUTING FACTOR VEHICLE 4,Factors contributing to the collision for designated vehicle,,
MV-Collisions - Crash,CONTRIBUTING FACTOR VEHICLE 5,Factors contributing to the collision for designated vehicle,,
MV-Collisions - Crash,VEHICLE TYPE CODE 1,"Type of vehicle based on the selected vehicle category (ATV, bicycle, car/suv, ebike, escooter, truck/bus, motorcycle, other)",,
MV-Collisions - Crash,VEHICLE TYPE CODE 2,"Type of vehicle based on the selected vehicle category (ATV, bicycle, car/suv, ebike, escooter, truck/bus, motorcycle, other)",,
MV-Collisions - Crash,VEHICLE TYPE CODE 3,"Type of vehicle based on the selected vehicle category (ATV, bicycle, car/suv, ebike, escooter, truck/bus, motorcycle, other)",,
MV-Collisions - Crash,VEHICLE TYPE CODE 4,"Type of vehicle based on the selected vehicle category (ATV, bicycle, car/suv, ebike, escooter, truck/bus, motorcycle, other)",,
MV-Collisions - Crash,VEHICLE TYPE CODE 5,"Type of vehicle based on the selected vehicle category (ATV, bicycle, car/suv, ebike, escooter, truck/bus, motorcycle, other)",,
MV-Collisions - Vehicle,UNIQUE_ID,Unique record code generated by system,Primary Key for the vehicle table ,
MV-Collisions - Vehicle,COLLISION_ID,Unique crash identification code,Foreign Key to the crash table,
MV-Collisions - Vehicle,ACCIDENT_DATE,Occurrence date of collision,,
MV-Collisions - Vehicle,ACCIDENT_TIME,Occurrence time of collision,,
MV-Collisions - Vehicle,VEHICLE_NUMBER,"Assigned number (1,2, 3, 4, etc.) of vehicle involved in the collision",,
MV-Collisions - Vehicle,STATE_REGISTRATION,State where driver license was issued,,
MV-Collisions - Vehicle,VEHICLE_TYPE,"Type of vehicle based on the selected vehicle category (ATV, bicycle, car/suv, ebike, escooter, truck/bus, motorcycle, other)",,
MV-Collisions - Vehicle,VEHICLE_MAKE,Vehicle make,,
MV-Collisions - Vehicle,VEHICLE_MODEL,Vehicle model,,
MV-Collisions - Vehicle,VEHICLE_YEAR,Year the vehicle was manufactured,,
